representation,pca_dim,horizon_k,eval_dnll,eval_nll,eval_nll_baseline,rollout_gap_nll
raw_512,512,1,-176.94830494140615,1086.7103728710938,1263.6586778125,inf
raw_512,512,2,-121.97413152343734,1141.6845462890626,1263.6586778125,
raw_512,512,4,-83.38045796874985,1180.27821984375,1263.6586778125,2.5526943089173107e+19
raw_512,512,8,-70.10518921874996,1192.21600796875,1262.3211971875,7.118645024493389
pca_32,32,1,-14.71603497314453,98.80935635742188,113.5253913305664,138.52338054815743
pca_32,32,2,-3.9028000048828204,109.62259132568359,113.5253913305664,828.8877879921088
pca_32,32,4,0.003145883789059667,113.52853721435547,113.5253913305664,589520504534.6632
pca_32,32,8,3.4724496826171816,116.99784101318359,113.5253913305664,9146290.408045148
pca_64,64,1,-26.7332944140625,182.1090689746094,208.84236338867188,146.16779370437277
pca_64,64,2,-8.322085673828127,200.52027771484376,208.84236338867188,4104811201508525.0
pca_64,64,4,-0.6021292138671868,208.2402341748047,208.84236338867188,64723838.39968285
pca_64,64,8,1.8887446679687514,210.73110805664064,208.84236338867188,30503349.122202653
