2026-02-06 17:43:26 | INFO     | phase0 | [tracking] Registered run: experiment=exp5_betavae run_id=20260206_174326 git=a1a1bc2 out=outputs/tier2/exp5_betavae/20260206_174326
2026-02-06 17:45:09 | INFO     | phase0 | [exp5] Run id: 20260206_174326, device: cuda, utterances: 5000
2026-02-06 17:45:09 | INFO     | phase0 | [exp5] === Variant: baseline_betavae ===
2026-02-06 17:45:09 | INFO     | phase0 | [exp5] Training VAE for baseline_betavae...
2026-02-06 17:45:11 | INFO     | phase0 | [vae_train] latent_dim=32 beta=0.01 lambda_smooth=0.0 lambda_pred=0.0 batch=4 lr=0.0001 steps=10000 amp=True
2026-02-06 17:45:30 | INFO     | phase0 | [vae_train] step=100/10000 loss=18.6752 recon=9.6862 kl=898.8959 smooth=0.0000 pred=0.0000
2026-02-06 17:45:48 | INFO     | phase0 | [vae_train] step=200/10000 loss=17.0123 recon=8.3059 kl=870.6359 smooth=0.0000 pred=0.0000
2026-02-06 17:46:08 | INFO     | phase0 | [vae_train] step=300/10000 loss=16.4873 recon=8.1677 kl=831.9610 smooth=0.0000 pred=0.0000
2026-02-06 17:46:28 | INFO     | phase0 | [vae_train] step=400/10000 loss=16.1721 recon=8.2343 kl=793.7746 smooth=0.0000 pred=0.0000
2026-02-06 17:46:49 | INFO     | phase0 | [vae_train] step=500/10000 loss=15.7614 recon=8.1497 kl=761.1703 smooth=0.0000 pred=0.0000
2026-02-06 17:47:09 | INFO     | phase0 | [vae_train] step=600/10000 loss=15.2705 recon=7.9862 kl=728.4359 smooth=0.0000 pred=0.0000
2026-02-06 17:47:29 | INFO     | phase0 | [vae_train] step=700/10000 loss=15.0265 recon=8.0426 kl=698.3841 smooth=0.0000 pred=0.0000
2026-02-06 17:47:50 | INFO     | phase0 | [vae_train] step=800/10000 loss=14.4536 recon=7.7830 kl=667.0571 smooth=0.0000 pred=0.0000
2026-02-06 17:48:10 | INFO     | phase0 | [vae_train] step=900/10000 loss=14.0868 recon=7.6963 kl=639.0462 smooth=0.0000 pred=0.0000
2026-02-06 17:48:30 | INFO     | phase0 | [vae_train] step=1000/10000 loss=13.7684 recon=7.6144 kl=615.4040 smooth=0.0000 pred=0.0000
2026-02-06 17:48:50 | INFO     | phase0 | [vae_train] step=1100/10000 loss=13.4197 recon=7.5575 kl=586.2150 smooth=0.0000 pred=0.0000
2026-02-06 17:49:11 | INFO     | phase0 | [vae_train] step=1200/10000 loss=13.1329 recon=7.5693 kl=556.3597 smooth=0.0000 pred=0.0000
2026-02-06 17:49:31 | INFO     | phase0 | [vae_train] step=1300/10000 loss=12.6990 recon=7.4127 kl=528.6239 smooth=0.0000 pred=0.0000
2026-02-06 17:49:52 | INFO     | phase0 | [vae_train] step=1400/10000 loss=12.4702 recon=7.4090 kl=506.1251 smooth=0.0000 pred=0.0000
2026-02-06 17:50:12 | INFO     | phase0 | [vae_train] step=1500/10000 loss=12.2116 recon=7.3654 kl=484.6131 smooth=0.0000 pred=0.0000
2026-02-06 17:50:33 | INFO     | phase0 | [vae_train] step=1600/10000 loss=11.8749 recon=7.3117 kl=456.3188 smooth=0.0000 pred=0.0000
2026-02-06 17:50:53 | INFO     | phase0 | [vae_train] step=1700/10000 loss=11.6758 recon=7.3120 kl=436.3803 smooth=0.0000 pred=0.0000
2026-02-06 17:51:14 | INFO     | phase0 | [vae_train] step=1800/10000 loss=11.3814 recon=7.2569 kl=412.4472 smooth=0.0000 pred=0.0000
2026-02-06 17:51:34 | INFO     | phase0 | [vae_train] step=1900/10000 loss=11.1572 recon=7.2589 kl=389.8279 smooth=0.0000 pred=0.0000
2026-02-06 17:51:55 | INFO     | phase0 | [vae_train] step=2000/10000 loss=10.8664 recon=7.1665 kl=369.9835 smooth=0.0000 pred=0.0000
2026-02-06 17:52:16 | INFO     | phase0 | [vae_train] step=2100/10000 loss=10.8037 recon=7.2805 kl=352.3282 smooth=0.0000 pred=0.0000
2026-02-06 17:52:36 | INFO     | phase0 | [vae_train] step=2200/10000 loss=10.3905 recon=7.1231 kl=326.7369 smooth=0.0000 pred=0.0000
2026-02-06 17:52:57 | INFO     | phase0 | [vae_train] step=2300/10000 loss=10.2180 recon=7.0912 kl=312.6781 smooth=0.0000 pred=0.0000
2026-02-06 17:53:17 | INFO     | phase0 | [vae_train] step=2400/10000 loss=10.1170 recon=7.1526 kl=296.4379 smooth=0.0000 pred=0.0000
2026-02-06 17:53:38 | INFO     | phase0 | [vae_train] step=2500/10000 loss=9.8763 recon=7.0674 kl=280.8939 smooth=0.0000 pred=0.0000
2026-02-06 17:53:59 | INFO     | phase0 | [vae_train] step=2600/10000 loss=9.7890 recon=7.1021 kl=268.6897 smooth=0.0000 pred=0.0000
2026-02-06 17:54:20 | INFO     | phase0 | [vae_train] step=2700/10000 loss=9.5100 recon=7.0712 kl=243.8794 smooth=0.0000 pred=0.0000
2026-02-06 17:54:41 | INFO     | phase0 | [vae_train] step=2800/10000 loss=9.4476 recon=7.0745 kl=237.3137 smooth=0.0000 pred=0.0000
2026-02-06 17:55:01 | INFO     | phase0 | [vae_train] step=2900/10000 loss=9.3172 recon=7.0788 kl=223.8436 smooth=0.0000 pred=0.0000
2026-02-06 17:55:22 | INFO     | phase0 | [vae_train] step=3000/10000 loss=9.1270 recon=6.9943 kl=213.2757 smooth=0.0000 pred=0.0000
2026-02-06 17:55:43 | INFO     | phase0 | [vae_train] step=3100/10000 loss=8.9939 recon=6.9964 kl=199.7492 smooth=0.0000 pred=0.0000
2026-02-06 17:56:03 | INFO     | phase0 | [vae_train] step=3200/10000 loss=8.8618 recon=6.9792 kl=188.2614 smooth=0.0000 pred=0.0000
2026-02-06 17:56:24 | INFO     | phase0 | [vae_train] step=3300/10000 loss=8.9056 recon=7.0378 kl=186.7840 smooth=0.0000 pred=0.0000
2026-02-06 17:56:44 | INFO     | phase0 | [vae_train] step=3400/10000 loss=8.7694 recon=7.0022 kl=176.7133 smooth=0.0000 pred=0.0000
2026-02-06 17:57:05 | INFO     | phase0 | [vae_train] step=3500/10000 loss=8.6719 recon=6.9798 kl=169.2112 smooth=0.0000 pred=0.0000
2026-02-06 17:57:25 | INFO     | phase0 | [vae_train] step=3600/10000 loss=8.6346 recon=7.0389 kl=159.5685 smooth=0.0000 pred=0.0000
2026-02-06 17:57:46 | INFO     | phase0 | [vae_train] step=3700/10000 loss=8.5516 recon=7.0074 kl=154.4153 smooth=0.0000 pred=0.0000
2026-02-06 17:58:06 | INFO     | phase0 | [vae_train] step=3800/10000 loss=8.4736 recon=6.9618 kl=151.1749 smooth=0.0000 pred=0.0000
2026-02-06 17:58:26 | INFO     | phase0 | [vae_train] step=3900/10000 loss=8.3636 recon=6.9256 kl=143.8040 smooth=0.0000 pred=0.0000
2026-02-06 17:58:47 | INFO     | phase0 | [vae_train] step=4000/10000 loss=8.2799 recon=6.9169 kl=136.2978 smooth=0.0000 pred=0.0000
2026-02-06 17:59:07 | INFO     | phase0 | [vae_train] step=4100/10000 loss=8.2346 recon=6.9178 kl=131.6784 smooth=0.0000 pred=0.0000
2026-02-06 17:59:28 | INFO     | phase0 | [vae_train] step=4200/10000 loss=8.2294 recon=6.9559 kl=127.3543 smooth=0.0000 pred=0.0000
2026-02-06 17:59:48 | INFO     | phase0 | [vae_train] step=4300/10000 loss=8.1228 recon=6.8935 kl=122.9262 smooth=0.0000 pred=0.0000
2026-02-06 18:00:08 | INFO     | phase0 | [vae_train] step=4400/10000 loss=8.1444 recon=6.9259 kl=121.8592 smooth=0.0000 pred=0.0000
2026-02-06 18:00:29 | INFO     | phase0 | [vae_train] step=4500/10000 loss=8.1267 recon=6.9237 kl=120.2964 smooth=0.0000 pred=0.0000
2026-02-06 18:00:49 | INFO     | phase0 | [vae_train] step=4600/10000 loss=8.0756 recon=6.9094 kl=116.6138 smooth=0.0000 pred=0.0000
2026-02-06 18:01:09 | INFO     | phase0 | [vae_train] step=4700/10000 loss=8.0369 recon=6.9258 kl=111.1138 smooth=0.0000 pred=0.0000
2026-02-06 18:01:30 | INFO     | phase0 | [vae_train] step=4800/10000 loss=7.9323 recon=6.8625 kl=106.9874 smooth=0.0000 pred=0.0000
2026-02-06 18:01:50 | INFO     | phase0 | [vae_train] step=4900/10000 loss=7.9525 recon=6.8758 kl=107.6714 smooth=0.0000 pred=0.0000
2026-02-06 18:02:11 | INFO     | phase0 | [vae_train] step=5000/10000 loss=7.9884 recon=6.9096 kl=107.8799 smooth=0.0000 pred=0.0000
2026-02-06 18:02:31 | INFO     | phase0 | [vae_train] step=5100/10000 loss=7.9630 recon=6.9150 kl=104.8042 smooth=0.0000 pred=0.0000
2026-02-06 18:02:52 | INFO     | phase0 | [vae_train] step=5200/10000 loss=7.8725 recon=6.8667 kl=100.5857 smooth=0.0000 pred=0.0000
2026-02-06 18:03:12 | INFO     | phase0 | [vae_train] step=5300/10000 loss=7.7938 recon=6.8339 kl=95.9914 smooth=0.0000 pred=0.0000
2026-02-06 18:03:33 | INFO     | phase0 | [vae_train] step=5400/10000 loss=7.7689 recon=6.8083 kl=96.0673 smooth=0.0000 pred=0.0000
2026-02-06 18:03:53 | INFO     | phase0 | [vae_train] step=5500/10000 loss=7.8365 recon=6.8490 kl=98.7509 smooth=0.0000 pred=0.0000
2026-02-06 18:04:14 | INFO     | phase0 | [vae_train] step=5600/10000 loss=7.8320 recon=6.8809 kl=95.1123 smooth=0.0000 pred=0.0000
2026-02-06 18:04:34 | INFO     | phase0 | [vae_train] step=5700/10000 loss=7.8305 recon=6.8822 kl=94.8251 smooth=0.0000 pred=0.0000
2026-02-06 18:04:55 | INFO     | phase0 | [vae_train] step=5800/10000 loss=7.6588 recon=6.7567 kl=90.2043 smooth=0.0000 pred=0.0000
2026-02-06 18:05:15 | INFO     | phase0 | [vae_train] step=5900/10000 loss=7.7675 recon=6.8625 kl=90.5004 smooth=0.0000 pred=0.0000
2026-02-06 18:05:36 | INFO     | phase0 | [vae_train] step=6000/10000 loss=7.7306 recon=6.8308 kl=89.9807 smooth=0.0000 pred=0.0000
2026-02-06 18:05:57 | INFO     | phase0 | [vae_train] step=6100/10000 loss=7.7548 recon=6.8627 kl=89.2069 smooth=0.0000 pred=0.0000
