2026-02-09 19:59:44 | INFO     | phase0 | [tracking] Registered run: experiment=exp6_score_correction run_id=20260209_195944 git=a1a1bc2 out=outputs/tier2/exp6_score_correction/20260209_195944
2026-02-09 19:59:44 | INFO     | phase0 | [exp6] Loading Phase 1 checkpoint: outputs/phase1/checkpoints/mdn_k1_final.pt
2026-02-09 20:00:39 | INFO     | phase0 | [exp6] 22216 train utterances for score model
2026-02-09 20:00:39 | INFO     | phase0 | [exp6] Training score model... (conditional=False)
2026-02-09 20:00:40 | INFO     | phase0 | [score_train] dim=512 hidden=1024 layers=4 sigma=[0.01,1.0] batch=256 steps=20000
2026-02-09 20:00:41 | INFO     | phase0 | [score_train] step=100/20000 loss=550311.0494
2026-02-09 20:00:41 | INFO     | phase0 | [score_train] step=200/20000 loss=549752.4738
2026-02-09 20:00:42 | INFO     | phase0 | [score_train] step=300/20000 loss=561558.9109
2026-02-09 20:00:42 | INFO     | phase0 | [score_train] step=400/20000 loss=557745.1412
2026-02-09 20:00:43 | INFO     | phase0 | [score_train] step=500/20000 loss=556427.5866
2026-02-09 20:00:43 | INFO     | phase0 | [score_train] step=600/20000 loss=553573.9856
2026-02-09 20:00:44 | INFO     | phase0 | [score_train] step=700/20000 loss=558080.6966
2026-02-09 20:00:44 | INFO     | phase0 | [score_train] step=800/20000 loss=555576.7197
2026-02-09 20:00:45 | INFO     | phase0 | [score_train] step=900/20000 loss=561039.1469
2026-02-09 20:00:46 | INFO     | phase0 | [score_train] step=1000/20000 loss=553371.7366
2026-02-09 20:00:46 | INFO     | phase0 | [score_train] step=1100/20000 loss=559298.8391
2026-02-09 20:00:47 | INFO     | phase0 | [score_train] step=1200/20000 loss=556176.7500
2026-02-09 20:00:47 | INFO     | phase0 | [score_train] step=1300/20000 loss=550328.5281
2026-02-09 20:00:48 | INFO     | phase0 | [score_train] step=1400/20000 loss=565357.4066
2026-02-09 20:00:48 | INFO     | phase0 | [score_train] step=1500/20000 loss=566024.4747
2026-02-09 20:00:49 | INFO     | phase0 | [score_train] step=1600/20000 loss=557575.4250
2026-02-09 20:00:49 | INFO     | phase0 | [score_train] step=1700/20000 loss=550333.1803
2026-02-09 20:00:50 | INFO     | phase0 | [score_train] step=1800/20000 loss=556084.3594
2026-02-09 20:00:51 | INFO     | phase0 | [score_train] step=1900/20000 loss=552050.1987
2026-02-09 20:00:51 | INFO     | phase0 | [score_train] step=2000/20000 loss=546161.1616
2026-02-09 20:00:52 | INFO     | phase0 | [score_train] step=2100/20000 loss=561599.2984
2026-02-09 20:00:52 | INFO     | phase0 | [score_train] step=2200/20000 loss=547304.3962
2026-02-09 20:00:53 | INFO     | phase0 | [score_train] step=2300/20000 loss=557592.3313
2026-02-09 20:00:53 | INFO     | phase0 | [score_train] step=2400/20000 loss=549270.7294
2026-02-09 20:00:54 | INFO     | phase0 | [score_train] step=2500/20000 loss=561731.2697
2026-02-09 20:00:55 | INFO     | phase0 | [score_train] step=2600/20000 loss=564660.5884
2026-02-09 20:00:55 | INFO     | phase0 | [score_train] step=2700/20000 loss=562013.1766
2026-02-09 20:00:56 | INFO     | phase0 | [score_train] step=2800/20000 loss=562608.3662
2026-02-09 20:00:56 | INFO     | phase0 | [score_train] step=2900/20000 loss=562427.3600
2026-02-09 20:00:57 | INFO     | phase0 | [score_train] step=3000/20000 loss=558295.5384
2026-02-09 20:00:57 | INFO     | phase0 | [score_train] step=3100/20000 loss=560574.5700
2026-02-09 20:00:58 | INFO     | phase0 | [score_train] step=3200/20000 loss=564025.9716
2026-02-09 20:00:58 | INFO     | phase0 | [score_train] step=3300/20000 loss=541631.9397
2026-02-09 20:00:59 | INFO     | phase0 | [score_train] step=3400/20000 loss=557036.4072
2026-02-09 20:00:59 | INFO     | phase0 | [score_train] step=3500/20000 loss=552717.8750
2026-02-09 20:01:00 | INFO     | phase0 | [score_train] step=3600/20000 loss=553274.3916
2026-02-09 20:01:00 | INFO     | phase0 | [score_train] step=3700/20000 loss=553735.9503
2026-02-09 20:01:01 | INFO     | phase0 | [score_train] step=3800/20000 loss=546738.1103
2026-02-09 20:01:02 | INFO     | phase0 | [score_train] step=3900/20000 loss=549507.6128
2026-02-09 20:01:03 | INFO     | phase0 | [score_train] step=4000/20000 loss=555965.0153
2026-02-09 20:01:04 | INFO     | phase0 | [score_train] step=4100/20000 loss=551772.8900
2026-02-09 20:01:04 | INFO     | phase0 | [score_train] step=4200/20000 loss=555566.8097
2026-02-09 20:01:05 | INFO     | phase0 | [score_train] step=4300/20000 loss=555150.2747
2026-02-09 20:01:05 | INFO     | phase0 | [score_train] step=4400/20000 loss=552148.1884
2026-02-09 20:01:06 | INFO     | phase0 | [score_train] step=4500/20000 loss=547873.2197
