method,n_steps,step_size,sigma,tweedie_scale,mode,cos,state_err,nll
langevin,1,0.001,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,1,0.001,0.1,1.0,D_corrected,0.0654517228031164,80.01404671976343,1309.560913592577
langevin,1,0.01,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,1,0.01,0.1,1.0,D_corrected,0.06544670875610592,80.01709064096212,1309.4835196435452
langevin,1,0.1,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,1,0.1,0.1,1.0,D_corrected,0.06541967117325242,80.06331106787547,1308.7155781537294
langevin,3,0.001,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,3,0.001,0.1,1.0,D_corrected,0.06545057000144094,80.01469808025286,1309.5437120348215
langevin,3,0.01,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,3,0.01,0.1,1.0,D_corrected,0.06543727166321389,80.02487838827074,1309.3118033409119
langevin,3,0.1,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,3,0.1,0.1,1.0,D_corrected,0.06539048071323528,80.26847642147914,1307.0764878094196
langevin,5,0.001,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,5,0.001,0.1,1.0,D_corrected,0.06544944166350097,80.01536352420226,1309.5265120863914
langevin,5,0.01,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,5,0.01,0.1,1.0,D_corrected,0.0654301761377667,80.03408173518255,1309.1406589895487
langevin,5,0.1,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
langevin,5,0.1,0.1,1.0,D_corrected,0.06542357562587853,80.61217734962702,1305.3935648351908
