2026-02-08 03:28:44 | INFO     | phase0 | [tracking] Registered run: experiment=exp9_pocket_mimi_vae run_id=20260208_032844 git=a1a1bc2 out=outputs/tier2/exp9_pocket_mimi_vae/20260208_032844
2026-02-08 03:30:22 | INFO     | phase0 | [exp9] Run id: 20260208_032844, device: cuda, utterances: 5000
2026-02-08 03:30:22 | INFO     | phase0 | [exp9] Building PocketMimiVAE...
2026-02-08 03:30:24 | INFO     | phase0 | Loading Mimi weights from full TTS model: hf://kyutai/pocket-tts/tts_b6369a24.safetensors@427e3d61b276ed69fdd03de0d185fa8a8d97fc5b
2026-02-08 03:30:24 | INFO     | phase0 | Mimi weights loaded successfully
2026-02-08 03:30:24 | INFO     | phase0 | [exp9] VAE built. Trainable params: 10,461,793
2026-02-08 03:30:24 | INFO     | phase0 | [exp9] Discriminator built. Params: 7,026,184
2026-02-08 03:30:26 | INFO     | phase0 | [exp9] WavLM distillation loaded (device=cuda, layer=7)
2026-02-08 03:30:26 | INFO     | phase0 | [exp9] Benchmarking pretrained reconstruction (before training)...
2026-02-08 03:30:31 | INFO     | phase0 | [exp9] Pretrain benchmark: mimi_pretrained mel=3.7688 l1=0.0478 | vae_mu_init mel=5.0030 l1=0.0613
2026-02-08 03:30:31 | INFO     | phase0 | [tracking] Finalized run: experiment=exp9_pocket_mimi_vae run_id=20260208_032844 status=completed duration=107s pretrain_mimi_recon_mel=3.7687576389312745 pretrain_mimi_recon_l1=0.047775500789284706 pretrain_vae_mu_recon_mel=5.003018507957458 pretrain_vae_mu_recon_l1=0.06133196763694286
