2026-02-08 10:32:47 | INFO     | phase0 | [tracking] Registered run: experiment=exp9_pocket_mimi_vae run_id=exp9_fix_smoke git=a1a1bc2 out=outputs/tier2/exp9_pocket_mimi_vae/exp9_fix_smoke
2026-02-08 10:34:25 | INFO     | phase0 | [exp9] Run id: exp9_fix_smoke, device: cuda, utterances: 5000
2026-02-08 10:34:25 | INFO     | phase0 | [exp9] Building PocketMimiVAE...
2026-02-08 10:34:26 | INFO     | phase0 | Loading Mimi weights from full TTS model: hf://kyutai/pocket-tts/tts_b6369a24.safetensors@427e3d61b276ed69fdd03de0d185fa8a8d97fc5b
2026-02-08 10:34:26 | INFO     | phase0 | Mimi weights loaded successfully
2026-02-08 10:34:26 | INFO     | phase0 | [exp9] VAE built. Trainable params: 10,461,793
2026-02-08 10:34:27 | INFO     | phase0 | [exp9] Discriminator built. Params: 7,026,184
2026-02-08 10:34:29 | INFO     | phase0 | [exp9] WavLM distillation loaded (device=cuda, layer=7)
2026-02-08 10:34:29 | INFO     | phase0 | [exp9] Benchmarking pretrained reconstruction (before training)...
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0038: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0060: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0065: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0035: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0046: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0019: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0039: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180298-0059: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180299-0038: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
2026-02-08 10:34:29 | WARNING  | phase0 | [exp9] Recon eval failed for 374-180299-0035: Expected all tensors to be on the same device, but found at least two devices, cpu and cuda:0! (when checking argument for argument tensors in method wrapper_CUDA_cat)
