k,seed,theta_mean_deg,theta_median_deg,theta_std_deg,kind
16,11,61.789669036865234,62.66297912597656,8.616127967834473,data
16,11,70.9556884765625,71.49319458007812,4.822658538818359,random
16,22,62.238685607910156,62.984291076660156,8.092626571655273,data
16,22,70.96446990966797,71.4995346069336,4.814807415008545,random
16,33,61.949180603027344,62.74614334106445,8.3834867477417,data
16,33,70.95711517333984,71.4940414428711,4.822391510009766,random
32,11,57.99881362915039,58.73078536987305,8.346381187438965,data
32,11,68.04025268554688,68.56441497802734,4.366998672485352,random
32,22,58.07965850830078,58.77684020996094,8.211339950561523,data
32,22,68.04930877685547,68.56807708740234,4.374454021453857,random
32,33,58.02513885498047,58.803924560546875,8.37691593170166,data
32,33,68.1234359741211,68.63432312011719,4.419979095458984,random
64,11,54.3905143737793,55.08396911621094,8.127995491027832,data
64,11,65.45917510986328,65.96381378173828,4.068283557891846,random
64,22,54.49180603027344,55.19512939453125,8.072797775268555,data
64,22,65.4607925415039,65.96283721923828,4.058679103851318,random
64,33,54.362403869628906,55.061824798583984,8.181129455566406,data
64,33,65.45719909667969,65.96475982666016,4.060703754425049,random
128,11,51.4377326965332,52.03545379638672,7.901707172393799,data
128,11,63.09817886352539,63.5763053894043,3.8275740146636963,random
128,22,51.39427947998047,52.076210021972656,7.93874454498291,data
128,22,63.092750549316406,63.571632385253906,3.822549343109131,random
128,33,51.45673751831055,52.10589599609375,7.876552581787109,data
128,33,63.095672607421875,63.573116302490234,3.8271877765655518,random
256,11,48.79823303222656,49.36160659790039,7.692688465118408,data
256,11,60.86879348754883,61.32296371459961,3.631404161453247,random
256,22,48.73002624511719,49.284515380859375,7.706284999847412,data
256,22,60.859657287597656,61.32126998901367,3.6263158321380615,random
256,33,48.83638381958008,49.41243362426758,7.675726890563965,data
256,33,60.86796951293945,61.326900482177734,3.628739595413208,random
512,11,46.44770431518555,46.95493698120117,7.490377902984619,data
512,11,58.75446701049805,59.19972610473633,3.476024627685547,random
512,22,46.397438049316406,46.92401885986328,7.5012712478637695,data
512,22,58.73809051513672,59.17844772338867,3.473661184310913,random
512,33,46.388404846191406,46.910423278808594,7.510213851928711,data
512,33,58.74415588378906,59.19055938720703,3.475677490234375,random
1024,11,44.270145416259766,44.73423767089844,7.262338638305664,data
1024,11,56.69091796875,57.1307258605957,3.3557307720184326,random
1024,22,44.270809173583984,44.74529266357422,7.270325660705566,data
1024,22,56.68670654296875,57.127864837646484,3.3573482036590576,random
1024,33,44.25940704345703,44.72072982788086,7.256402015686035,data
1024,33,56.70172882080078,57.13705825805664,3.3555381298065186,random
