k1,seed,quant_mse,cluster_frames_min,cluster_frames_median,cluster_frames_mean,cluster_frames_max,clusters_lt_min_deltas_frac,clusters_lt_min_deltas_n
64,11,18.286583081897994,1231,12722.5,12848.109375,22274,0.0,0
64,22,18.28243082639834,1217,12996.5,12848.109375,25620,0.0,0
64,33,18.279079089943924,1187,12289.0,12848.109375,22513,0.0,0
128,11,16.55576916411583,1170,5854.0,6424.0546875,17061,0.0,0
128,22,16.57811863430782,1188,6196.0,6424.0546875,15693,0.0,0
128,33,16.58104518052875,1147,6274.5,6424.0546875,13031,0.0,0
256,11,15.117131852449107,354,2989.5,3212.02734375,8861,0.0,0
256,22,15.107507761964005,893,3113.5,3212.02734375,9089,0.0,0
256,33,15.093770788260432,648,3139.0,3212.02734375,7944,0.0,0
512,11,13.807090795824775,395,1546.5,1606.013671875,5301,0.0,0
512,22,13.803139126136019,372,1541.0,1606.013671875,5342,0.0,0
512,33,13.795988952654756,257,1526.5,1606.013671875,4999,0.001953125,1
1024,11,12.631294054390299,193,744.5,803.0068359375,3051,0.0029296875,3
1024,22,12.614667398474241,176,760.0,803.0068359375,2779,0.00390625,4
1024,33,12.641280210244942,154,754.5,803.0068359375,3700,0.00390625,4
2048,11,11.59337630536594,40,378.0,401.50341796875,1485,0.00390625,8
2048,22,11.567293195192873,53,381.0,401.50341796875,2040,0.00390625,8
2048,33,11.572800602046264,71,379.0,401.50341796875,1723,0.00439453125,9
