state,n_deltas,theta_mean_deg,theta_mean_deg_shuffled
0,447,40.35656,69.3882
1,143,49.656723,67.92044
2,524,49.957577,70.62085
3,993,56.950737,70.73405
4,386,51.807526,70.792595
5,453,39.49859,69.62024
6,393,45.76671,70.81864
7,306,35.441063,69.06753
8,614,57.024467,70.393486
9,465,46.928486,70.887764
10,360,46.59107,69.3246
11,218,39.998512,68.7376
12,548,54.107254,70.381035
13,481,48.38565,69.87649
14,498,51.495502,69.91857
15,290,42.70207,69.705765
16,645,42.782547,70.797066
17,418,34.133278,70.209526
18,231,34.05888,69.98174
19,1016,50.200474,70.82412
20,488,51.79437,69.97629
21,555,57.653767,70.19564
22,1209,58.682526,71.28947
23,401,50.51188,70.295265
24,535,54.675415,70.83211
25,388,43.491886,69.028114
26,319,40.829403,69.93847
27,209,37.55317,68.6055
28,315,46.616337,69.674065
29,291,50.571983,69.58878
30,372,19.960632,70.141365
31,392,46.355827,70.622894
32,1029,52.97126,70.996056
33,997,58.907684,71.02423
34,452,49.576794,69.82684
35,554,49.822662,69.79208
36,540,46.909534,70.07977
37,592,48.979664,70.260956
38,544,52.49404,70.43517
39,606,41.335888,70.719765
40,898,46.472195,70.65071
41,489,47.350853,70.85193
42,274,46.169754,69.3527
43,346,46.654373,70.09486
44,401,43.80949,70.323364
45,210,38.979996,69.17216
46,467,38.740448,71.13046
47,1200,61.308887,70.41699
48,438,46.299072,70.13312
49,523,51.448383,69.86097
50,474,45.68368,70.12599
51,278,50.50601,69.636635
52,293,41.413826,70.02684
53,610,53.29627,71.1473
54,356,49.720142,69.46424
55,480,44.9051,71.16833
56,240,43.49133,69.384895
57,439,46.581017,70.28301
58,780,57.03706,69.85112
59,283,43.327557,70.12031
60,430,42.93705,70.696045
61,350,33.331516,70.31346
62,572,52.719154,71.36905
63,386,37.267666,69.81712
64,731,50.6909,70.51245
65,705,53.788277,71.541626
66,490,46.272488,70.48843
67,771,37.924328,70.23802
68,329,40.348164,69.79167
69,239,39.595062,69.39445
70,333,55.24208,69.65065
71,561,18.851461,70.399765
72,271,42.119823,70.338264
73,682,46.47529,70.899666
74,388,48.35152,69.59212
75,580,40.558636,70.761406
76,754,61.651146,70.36462
77,714,54.511253,70.83604
78,325,53.998436,69.45503
79,356,40.57079,69.65626
80,603,50.231194,70.41924
81,361,48.29325,70.1232
82,442,36.61294,69.63184
83,535,55.64592,70.68132
84,250,45.963093,68.24888
85,638,56.031776,69.884964
86,312,47.060566,69.72729
87,770,53.575,70.550385
88,208,41.15319,68.973915
89,395,47.11327,69.735886
90,506,48.98024,70.98987
91,563,54.30621,70.891235
92,691,43.713463,71.1812
93,244,50.003426,68.837746
94,727,40.980663,71.50965
95,493,10.036153,69.393875
96,671,49.087486,70.690094
97,763,45.731037,70.07262
98,403,38.522003,69.64108
99,294,43.25048,69.71423
100,401,51.255642,70.396736
101,374,49.76792,70.229866
102,438,50.83059,70.572495
103,284,50.430508,69.58268
104,232,43.970963,69.6606
105,524,42.984554,70.30648
106,275,43.231762,68.99937
