k1,k2,seed,kind,theta_weighted_mean_deg,theta_unweighted_mean_deg,n_deltas_used,n_states_used,repeat
64,4,11,data,55.064599913605974,53.346824645996094,817279,64,
64,4,11,shuffled,71.33261951961556,71.31534576416016,817279,64,0.0
64,4,11,shuffled,71.30169083316176,71.28409576416016,817279,64,1.0
64,4,11,shuffled,71.35029644856024,71.34578704833984,817279,64,2.0
64,4,11,shuffled,71.38898645862746,71.37104797363281,817279,64,3.0
64,4,11,shuffled,71.32486779577835,71.30674743652344,817279,64,4.0
64,4,11,random,77.47797090960186,77.41123962402344,817279,64,
64,8,11,data,51.97278130749371,50.27281188964844,817279,64,
64,8,11,shuffled,66.57545021601003,66.5196533203125,817279,64,0.0
64,8,11,shuffled,66.5785903954282,66.5462417602539,817279,64,1.0
64,8,11,shuffled,66.52702837524943,66.51417541503906,817279,64,2.0
64,8,11,shuffled,66.55265239440989,66.51899719238281,817279,64,3.0
64,8,11,shuffled,66.56935162334263,66.5457763671875,817279,64,4.0
64,8,11,random,73.82817400749366,73.72605895996094,817279,64,
64,16,11,data,49.07823271542875,47.41943359375,817279,64,
64,16,11,shuffled,62.14990419852092,62.10935974121094,817279,64,0.0
64,16,11,shuffled,62.104707535004245,62.06996536254883,817279,64,1.0
64,16,11,shuffled,62.17017849585403,62.11477279663086,817279,64,2.0
64,16,11,shuffled,62.14453168406891,62.08122253417969,817279,64,3.0
64,16,11,shuffled,62.12985165905109,62.056522369384766,817279,64,4.0
64,16,11,random,70.42154936188649,70.26792907714844,817279,64,
64,32,11,data,46.389253185274676,44.7584228515625,817279,64,
64,32,11,shuffled,57.99767708534297,57.899375915527344,817279,64,0.0
64,32,11,shuffled,58.05351070916882,57.94050979614258,817279,64,1.0
64,32,11,shuffled,58.01553068241421,57.92121887207031,817279,64,2.0
64,32,11,shuffled,58.02448020063691,57.916725158691406,817279,64,3.0
64,32,11,shuffled,58.04178434994748,57.948097229003906,817279,64,4.0
64,32,11,random,67.20170231848489,66.97303771972656,817279,64,
64,64,11,data,43.913009750920196,42.31093978881836,817279,64,
64,64,11,shuffled,54.31636960017463,54.16548156738281,817279,64,0.0
64,64,11,shuffled,54.31553332998949,54.149436950683594,817279,64,1.0
64,64,11,shuffled,54.29401652301239,54.13926696777344,817279,64,2.0
64,64,11,shuffled,54.31114508924497,54.15204620361328,817279,64,3.0
64,64,11,shuffled,54.32389769885459,54.15645980834961,817279,64,4.0
64,64,11,random,64.0821751675046,63.759151458740234,817279,64,
64,4,22,data,55.122016944365804,52.87309646606445,817279,64,
64,4,22,shuffled,71.36800461286947,71.33488464355469,817279,64,0.0
64,4,22,shuffled,71.36259210999042,71.31143188476562,817279,64,1.0
64,4,22,shuffled,71.29544351521349,71.26258850097656,817279,64,2.0
64,4,22,shuffled,71.36654517732575,71.3447265625,817279,64,3.0
64,4,22,shuffled,71.32246618312217,71.31556701660156,817279,64,4.0
64,4,22,random,77.48784307372661,77.4144287109375,817279,64,
64,8,22,data,51.93536522544766,49.77347946166992,817279,64,
64,8,22,shuffled,66.55703106748167,66.52069091796875,817279,64,0.0
64,8,22,shuffled,66.53276893250617,66.50804138183594,817279,64,1.0
64,8,22,shuffled,66.60562578009907,66.56442260742188,817279,64,2.0
64,8,22,shuffled,66.5843556020409,66.5467529296875,817279,64,3.0
64,8,22,shuffled,66.55607020316532,66.52290344238281,817279,64,4.0
64,8,22,random,73.82977186253653,73.719970703125,817279,64,
64,16,22,data,49.02814381684205,46.946876525878906,817279,64,
64,16,22,shuffled,62.20567424595249,62.14096450805664,817279,64,0.0
64,16,22,shuffled,62.142920886732085,62.10004425048828,817279,64,1.0
64,16,22,shuffled,62.16329839186032,62.10635757446289,817279,64,2.0
64,16,22,shuffled,62.155796746874294,62.09149932861328,817279,64,3.0
64,16,22,shuffled,62.199759851471214,62.147544860839844,817279,64,4.0
64,16,22,random,70.4243605627598,70.2591323852539,817279,64,
64,32,22,data,46.360303842288545,44.345279693603516,817279,64,
64,32,22,shuffled,58.02282576911338,57.942710876464844,817279,64,0.0
64,32,22,shuffled,57.99219585809371,57.91321563720703,817279,64,1.0
64,32,22,shuffled,58.053775316130846,57.96729278564453,817279,64,2.0
64,32,22,shuffled,58.042044929539614,57.93821334838867,817279,64,3.0
64,32,22,shuffled,58.05952819958252,57.96403121948242,817279,64,4.0
64,32,22,random,67.19267772827428,66.962158203125,817279,64,
64,64,22,data,43.89855973275986,41.93857192993164,817279,64,
64,64,22,shuffled,54.31928813665881,54.16694641113281,817279,64,0.0
64,64,22,shuffled,54.306132455471385,54.15343475341797,817279,64,1.0
64,64,22,shuffled,54.321966865384226,54.16046905517578,817279,64,2.0
64,64,22,shuffled,54.3058348157475,54.14167404174805,817279,64,3.0
64,64,22,shuffled,54.296101403937485,54.13831329345703,817279,64,4.0
64,64,22,random,64.07854686952884,63.74030303955078,817279,64,
64,4,33,data,55.05528201572089,53.01017379760742,817279,64,
64,4,33,shuffled,71.35658572232998,71.31863403320312,817279,64,0.0
64,4,33,shuffled,71.31831104890449,71.2878189086914,817279,64,1.0
64,4,33,shuffled,71.34463012007838,71.30123901367188,817279,64,2.0
64,4,33,shuffled,71.36988792972026,71.34939575195312,817279,64,3.0
64,4,33,shuffled,71.37965237462153,71.37551879882812,817279,64,4.0
64,4,33,random,77.47420479201085,77.39656066894531,817279,64,
64,8,33,data,51.89364854148524,49.90538024902344,817279,64,
64,8,33,shuffled,66.594988326303,66.55593872070312,817279,64,0.0
64,8,33,shuffled,66.58665657879183,66.52827453613281,817279,64,1.0
64,8,33,shuffled,66.53859460473035,66.5097427368164,817279,64,2.0
64,8,33,shuffled,66.53351739667588,66.49940490722656,817279,64,3.0
64,8,33,shuffled,66.53232122579782,66.48533630371094,817279,64,4.0
64,8,33,random,73.81242191761443,73.70716094970703,817279,64,
64,16,33,data,48.98836351808136,47.04997253417969,817279,64,
64,16,33,shuffled,62.14529475556725,62.09110641479492,817279,64,0.0
64,16,33,shuffled,62.165511695252505,62.11925506591797,817279,64,1.0
64,16,33,shuffled,62.09421749632413,62.03144073486328,817279,64,2.0
64,16,33,shuffled,62.17346130700455,62.114898681640625,817279,64,3.0
64,16,33,shuffled,62.143046446763115,62.087913513183594,817279,64,4.0
64,16,33,random,70.4240364953823,70.2573013305664,817279,64,
64,32,33,data,46.32777009665389,44.43611145019531,817279,64,
64,32,33,shuffled,58.0342241492821,57.93080139160156,817279,64,0.0
64,32,33,shuffled,58.02034373847688,57.92481994628906,817279,64,1.0
64,32,33,shuffled,58.020337733616635,57.91543197631836,817279,64,2.0
64,32,33,shuffled,58.01715483497919,57.91404342651367,817279,64,3.0
64,32,33,shuffled,58.01576923893133,57.91552734375,817279,64,4.0
64,32,33,random,67.19275318640462,66.9539566040039,817279,64,
64,64,33,data,43.853811086857576,42.00032043457031,817279,64,
64,64,33,shuffled,54.31771603758927,54.13542938232422,817279,64,0.0
64,64,33,shuffled,54.31309567484128,54.148231506347656,817279,64,1.0
64,64,33,shuffled,54.299309309876605,54.10761260986328,817279,64,2.0
64,64,33,shuffled,54.3112863978506,54.140663146972656,817279,64,3.0
64,64,33,shuffled,54.33644742159926,54.154258728027344,817279,64,4.0
64,64,33,random,64.07351157022819,63.714515686035156,817279,64,
128,4,11,data,53.26664679907342,51.27729415893555,817279,128,
128,4,11,shuffled,71.29470059371309,71.25473022460938,817279,128,0.0
128,4,11,shuffled,71.3067991159421,71.29141998291016,817279,128,1.0
128,4,11,shuffled,71.24852067197686,71.24442291259766,817279,128,2.0
128,4,11,shuffled,71.29038721342275,71.28080749511719,817279,128,3.0
128,4,11,shuffled,71.34614930640636,71.3111343383789,817279,128,4.0
128,4,11,random,77.3019761676387,77.22434997558594,817279,128,
128,8,11,data,50.19957087728555,48.38220977783203,817279,128,
128,8,11,shuffled,66.4945321854552,66.46122741699219,817279,128,0.0
128,8,11,shuffled,66.50343660077401,66.45787811279297,817279,128,1.0
128,8,11,shuffled,66.49454245984292,66.45743560791016,817279,128,2.0
128,8,11,shuffled,66.49923750951929,66.47367858886719,817279,128,3.0
128,8,11,shuffled,66.47851255783551,66.4342269897461,817279,128,4.0
128,8,11,random,73.52619906262451,73.40562438964844,817279,128,
128,16,11,data,47.42087533424933,45.688255310058594,817279,128,
128,16,11,shuffled,62.05435189017125,61.977909088134766,817279,128,0.0
128,16,11,shuffled,62.08462526890669,62.02397155761719,817279,128,1.0
128,16,11,shuffled,62.041790736473956,61.97911834716797,817279,128,2.0
128,16,11,shuffled,62.02480233850655,61.97111511230469,817279,128,3.0
128,16,11,shuffled,62.04006972499647,61.97190475463867,817279,128,4.0
128,16,11,random,69.98290412044383,69.80718231201172,817279,128,
128,32,11,data,44.81483357904724,43.16568374633789,817279,128,
128,32,11,shuffled,57.834861632315594,57.73418045043945,817279,128,0.0
128,32,11,shuffled,57.804106840263906,57.7080078125,817279,128,1.0
128,32,11,shuffled,57.81520047960712,57.7209358215332,817279,128,2.0
128,32,11,shuffled,57.81445804873709,57.715370178222656,817279,128,3.0
128,32,11,shuffled,57.81820855603457,57.71586608886719,817279,128,4.0
128,32,11,random,66.56767559074268,66.31198120117188,817279,128,
128,64,11,data,42.315428729376336,40.71326446533203,817279,128,
128,64,11,shuffled,53.91984201820486,53.73396301269531,817279,128,0.0
128,64,11,shuffled,53.92850641109457,53.751808166503906,817279,128,1.0
128,64,11,shuffled,53.933390951645954,53.753055572509766,817279,128,2.0
128,64,11,shuffled,53.92924499014624,53.756553649902344,817279,128,3.0
128,64,11,shuffled,53.94040325834342,53.755889892578125,817279,128,4.0
128,64,11,random,63.108382766439526,62.73838806152344,817279,128,
128,4,22,data,53.337423721936524,51.511199951171875,817279,128,
128,4,22,shuffled,71.30543330168251,71.28469848632812,817279,128,0.0
128,4,22,shuffled,71.29657373523108,71.28616333007812,817279,128,1.0
128,4,22,shuffled,71.28121174415188,71.26879119873047,817279,128,2.0
128,4,22,shuffled,71.29142351113605,71.29209899902344,817279,128,3.0
128,4,22,shuffled,71.33613105456317,71.3060531616211,817279,128,4.0
128,4,22,random,77.28419038192128,77.21920013427734,817279,128,
128,8,22,data,50.2651074231211,48.550865173339844,817279,128,
128,8,22,shuffled,66.51850764425484,66.47498321533203,817279,128,0.0
128,8,22,shuffled,66.52209433800695,66.4794692993164,817279,128,1.0
128,8,22,shuffled,66.51348070981587,66.4896240234375,817279,128,2.0
128,8,22,shuffled,66.53849615026442,66.50631713867188,817279,128,3.0
128,8,22,shuffled,66.47613385187447,66.45072937011719,817279,128,4.0
128,8,22,random,73.52899758654056,73.43032836914062,817279,128,
128,16,22,data,47.43969152956359,45.818660736083984,817279,128,
128,16,22,shuffled,62.025865115884066,61.987701416015625,817279,128,0.0
128,16,22,shuffled,61.993568746798495,61.94805145263672,817279,128,1.0
128,16,22,shuffled,62.03622116856849,61.993263244628906,817279,128,2.0
128,16,22,shuffled,62.07676469806593,62.01958465576172,817279,128,3.0
128,16,22,shuffled,62.05943597156917,62.014060974121094,817279,128,4.0
128,16,22,random,69.98263955800098,69.84332275390625,817279,128,
128,32,22,data,44.84008263179341,43.2855110168457,817279,128,
128,32,22,shuffled,57.83149066804201,57.74772644042969,817279,128,0.0
128,32,22,shuffled,57.8194192232374,57.73496627807617,817279,128,1.0
128,32,22,shuffled,57.82140716571013,57.72613525390625,817279,128,2.0
128,32,22,shuffled,57.81075564082249,57.7291259765625,817279,128,3.0
128,32,22,shuffled,57.80107149801074,57.724769592285156,817279,128,4.0
128,32,22,random,66.54320539567948,66.33861541748047,817279,128,
128,64,22,data,42.344389563804306,40.83942413330078,817279,128,
128,64,22,shuffled,53.91668177351426,53.77519226074219,817279,128,0.0
128,64,22,shuffled,53.92004750143171,53.78754425048828,817279,128,1.0
128,64,22,shuffled,53.93230893143842,53.79072570800781,817279,128,2.0
128,64,22,shuffled,53.93676517288094,53.78553771972656,817279,128,3.0
128,64,22,shuffled,53.932734140679806,53.789756774902344,817279,128,4.0
128,64,22,random,63.10528710591571,62.809906005859375,817279,128,
128,4,33,data,53.376824990234205,51.83580017089844,817279,128,
128,4,33,shuffled,71.30102994980246,71.28511047363281,817279,128,0.0
128,4,33,shuffled,71.2899911827444,71.27761840820312,817279,128,1.0
128,4,33,shuffled,71.32281013173028,71.30951690673828,817279,128,2.0
128,4,33,shuffled,71.32168045149712,71.29798889160156,817279,128,3.0
128,4,33,shuffled,71.27943184871168,71.26212310791016,817279,128,4.0
128,4,33,random,77.29394887786097,77.22183227539062,817279,128,
128,8,33,data,50.30487329564157,48.836387634277344,817279,128,
128,8,33,shuffled,66.47280299466792,66.42430114746094,817279,128,0.0
128,8,33,shuffled,66.48527982940313,66.45796203613281,817279,128,1.0
128,8,33,shuffled,66.49667242549644,66.44646453857422,817279,128,2.0
128,8,33,shuffled,66.48950845171022,66.44969177246094,817279,128,3.0
128,8,33,shuffled,66.51001598039467,66.46823120117188,817279,128,4.0
128,8,33,random,73.52463241744266,73.41858673095703,817279,128,
128,16,33,data,47.4875817799724,46.091224670410156,817279,128,
128,16,33,shuffled,62.05881152126918,62.00185012817383,817279,128,0.0
128,16,33,shuffled,62.05005115264365,61.99220275878906,817279,128,1.0
128,16,33,shuffled,62.02922865292906,61.98047637939453,817279,128,2.0
128,16,33,shuffled,62.01720152485285,61.958946228027344,817279,128,3.0
128,16,33,shuffled,62.05229934190695,61.99131774902344,817279,128,4.0
128,16,33,random,69.97856648952369,69.8209457397461,817279,128,
128,32,33,data,44.853766350851764,43.493587493896484,817279,128,
128,32,33,shuffled,57.838361871879805,57.73383712768555,817279,128,0.0
128,32,33,shuffled,57.81947193360296,57.71232986450195,817279,128,1.0
128,32,33,shuffled,57.80923634862962,57.71012878417969,817279,128,2.0
128,32,33,shuffled,57.82086601009524,57.726646423339844,817279,128,3.0
128,32,33,shuffled,57.82647170781342,57.722476959228516,817279,128,4.0
128,32,33,random,66.54051416024598,66.31231689453125,817279,128,
128,64,33,data,42.368546940997135,41.03759765625,817279,128,
128,64,33,shuffled,53.916556573431315,53.741817474365234,817279,128,0.0
128,64,33,shuffled,53.92131053241057,53.74844741821289,817279,128,1.0
128,64,33,shuffled,53.928814078194314,53.755210876464844,817279,128,2.0
128,64,33,shuffled,53.939759402124274,53.76416778564453,817279,128,3.0
128,64,33,shuffled,53.935831527747396,53.7530632019043,817279,128,4.0
128,64,33,random,63.091923487406696,62.765655517578125,817279,128,
256,4,11,data,51.72445866750169,50.11851119995117,817279,256,
256,4,11,shuffled,71.24196066965855,71.20167541503906,817279,256,0.0
256,4,11,shuffled,71.22454930005381,71.1861572265625,817279,256,1.0
256,4,11,shuffled,71.25026250105313,71.21696472167969,817279,256,2.0
256,4,11,shuffled,71.25072121207128,71.19615173339844,817279,256,3.0
256,4,11,shuffled,71.24369956718158,71.19532775878906,817279,256,4.0
256,4,11,random,76.98150094236252,76.85795593261719,817279,256,
256,8,11,data,48.7466777152366,47.23639678955078,817279,256,
256,8,11,shuffled,66.32501596738413,66.26667022705078,817279,256,0.0
256,8,11,shuffled,66.3427464426307,66.26799011230469,817279,256,1.0
256,8,11,shuffled,66.38127303119944,66.29403686523438,817279,256,2.0
256,8,11,shuffled,66.33530646650597,66.2636947631836,817279,256,3.0
256,8,11,shuffled,66.35707616142012,66.2816162109375,817279,256,4.0
256,8,11,random,73.06221795275358,72.88050842285156,817279,256,
256,16,11,data,45.982359130627124,44.540138244628906,817279,256,
256,16,11,shuffled,61.795535175903815,61.68096160888672,817279,256,0.0
256,16,11,shuffled,61.82774750541335,61.70957565307617,817279,256,1.0
256,16,11,shuffled,61.807275396227936,61.682647705078125,817279,256,2.0
256,16,11,shuffled,61.81609105888518,61.69136428833008,817279,256,3.0
256,16,11,shuffled,61.8050768159245,61.68952941894531,817279,256,4.0
256,16,11,random,69.27784445924905,69.02250671386719,817279,256,
256,32,11,data,43.318245904467375,41.927513122558594,817279,256,
256,32,11,shuffled,57.419291053221734,57.21714782714844,817279,256,0.0
256,32,11,shuffled,57.416637939434715,57.2243537902832,817279,256,1.0
256,32,11,shuffled,57.4134538341308,57.20409393310547,817279,256,2.0
256,32,11,shuffled,57.417573509329216,57.22189712524414,817279,256,3.0
256,32,11,shuffled,57.428003219493384,57.23313903808594,817279,256,4.0
256,32,11,random,65.54566550551182,65.17680358886719,817279,256,
256,64,11,data,40.680437010477554,39.29769515991211,817279,256,
256,64,11,shuffled,53.221933133513645,52.883583068847656,817279,256,0.0
256,64,11,shuffled,53.224380057475514,52.889312744140625,817279,256,1.0
256,64,11,shuffled,53.22812488571297,52.88740158081055,817279,256,2.0
256,64,11,shuffled,53.21362071591513,52.8690299987793,817279,256,3.0
256,64,11,shuffled,53.21708611065005,52.88792419433594,817279,256,4.0
256,64,11,random,61.63148477572686,61.090171813964844,817279,256,
256,4,22,data,51.68993006553762,50.230140686035156,817279,256,
256,4,22,shuffled,71.24677107292855,71.21115112304688,817279,256,0.0
256,4,22,shuffled,71.22486180952112,71.1946029663086,817279,256,1.0
256,4,22,shuffled,71.21390772963946,71.17787170410156,817279,256,2.0
256,4,22,shuffled,71.2390616467741,71.21131896972656,817279,256,3.0
256,4,22,shuffled,71.26164594031218,71.21469116210938,817279,256,4.0
256,4,22,random,76.97881848855695,76.87310791015625,817279,256,
256,8,22,data,48.736532935715736,47.365447998046875,817279,256,
256,8,22,shuffled,66.36069238024545,66.29588317871094,817279,256,0.0
256,8,22,shuffled,66.36795425970945,66.30294799804688,817279,256,1.0
256,8,22,shuffled,66.35698145549816,66.29872131347656,817279,256,2.0
256,8,22,shuffled,66.35049764885439,66.28218078613281,817279,256,3.0
256,8,22,shuffled,66.33825184103881,66.28390502929688,817279,256,4.0
256,8,22,random,73.04825074057815,72.89607238769531,817279,256,
256,16,22,data,45.94540380126968,44.64350509643555,817279,256,
