k1,k2,seed,kind,theta_weighted_mean_deg,n_used,n_groups,repeat
2048,4,11,data,46.56402704409067,40607,378,
2048,4,11,shuffled,,0,0,0.0
2048,4,11,shuffled,,0,0,1.0
2048,4,11,shuffled,,0,0,2.0
2048,4,11,shuffled,,0,0,3.0
2048,4,11,shuffled,,0,0,4.0
2048,4,11,random,70.5989413570365,40607,378,
2048,4,22,data,46.805047514698806,42556,375,
2048,4,22,shuffled,,0,0,0.0
2048,4,22,shuffled,,0,0,1.0
2048,4,22,shuffled,,0,0,2.0
2048,4,22,shuffled,,0,0,3.0
2048,4,22,shuffled,,0,0,4.0
2048,4,22,random,70.90442383944826,42556,375,
2048,4,33,data,46.402801625291914,43950,407,
2048,4,33,shuffled,,0,0,0.0
2048,4,33,shuffled,,0,0,1.0
2048,4,33,shuffled,,0,0,2.0
2048,4,33,shuffled,,0,0,3.0
2048,4,33,shuffled,,0,0,4.0
2048,4,33,random,70.65902763496894,43950,407,
